AIRLINE,ORIGIN,DESTINAT,RDEPDATE,DEPTIME,RARRDATE,ARRTIME,CLASS
TO,ORY,AMS,03/31/2016,7:35,03/31/2016,9:00,Y
U2,CDG,BFS,04/06/2016,17:05,04/06/2016,17:50,B
U2,CDG,BFS,04/06/2016,17:05,04/06/2016,17:50,B
U2,CDG,BFS,04/06/2016,17:05,04/06/2016,17:50,B
AF,CDG,AMS,03/31/2016,7:20,03/31/2016,8:40,Y
AF,CDG,AMS,03/31/2016,7:20,03/31/2016,8:40,Y
AF,CDG,FCO,03/30/2016,7:15,03/30/2016,9:20,N
AF,FCO,CDG,03/31/2016,19:10,03/31/2016,21:20,N
AF,BOD,MRS,04/20/2016,7:55,04/20/2016,9:00,H
AF,CDG,TLS,03/29/2016,7:20,03/29/2016,8:40,W
AF,TLS,ORY,03/30/2016,6:30,03/30/2016,7:50,W
WX,NTE,LCY,04/13/2016,13:35,04/13/2016,14:00,H
U2,CDG,BFS,04/06/2016,17:05,04/06/2016,17:50,Y
TP,ORY,LIS,03/30/2016,20:40,03/30/2016,22:05,D
AF,CDG,BOD,04/06/2016,10:00,04/06/2016,11:15,W
AF,LYS,NCE,04/14/2016,8:30,04/14/2016,9:25,A
AF,ORY,MPL,03/30/2016,17:05,03/30/2016,18:20,Y
AF,NTE,CDG,03/30/2016,6:20,03/30/2016,7:25,U
AF,CDG,LHR,04/11/2016,7:30,04/11/2016,7:50,Y
AF,ORY,MPL,04/04/2016,10:35,04/04/2016,11:50,S
AF,CDG,AMS,03/21/2016,12:40,03/21/2016,13:55,M
AF,CDG,AMS,03/21/2016,12:40,03/21/2016,13:55,M
BE,CDG,BHX,03/21/2016,18:45,03/21/2016,19:00,S
TP,ORY,LIS,03/31/2016,7:50,03/31/2016,9:15,H
TP,ORY,LIS,03/31/2016,7:50,03/31/2016,9:15,H
AF,LIL,TLS,04/04/2016,6:55,04/04/2016,8:25,L
AF,NTE,CDG,04/05/2016,6:20,04/05/2016,7:25,U
AF,CDG,NCE,05/16/2016,18:25,05/16/2016,19:55,H
LH,NCE,FRA,05/17/2016,19:05,05/17/2016,20:40,Q
AF,FRA,CDG,05/19/2016,14:40,05/19/2016,16:00,V
KM,CDG,MLA,04/06/2016,10:15,04/06/2016,13:00,G
KM,CDG,MLA,04/06/2016,10:15,04/06/2016,13:00,G
LH,CDG,FRA,04/18/2016,7:55,04/18/2016,9:10,V
AF,CDG,TLV,04/12/2016,10:50,04/12/2016,16:20,E
AF,CDG,VCE,04/28/2016,15:40,04/28/2016,17:15,R
U2,ORY,FCO,03/30/2016,7:10,03/30/2016,9:05,Y
KL,LHR,AMS,04/15/2016,17:10,04/15/2016,19:35,Y
TP,BOD,LIS,05/09/2016,17:35,05/09/2016,18:35,E
T7,ORY,LIG,04/12/2016,9:00,04/12/2016,10:10,Q
EK,LYS,DXB,04/24/2016,21:55,04/25/2016,6:15,L
AF,MRS,ORY,03/29/2016,16:25,03/29/2016,17:45,S
AF,ORY,TLS,03/30/2016,19:25,03/30/2016,20:35,T
AF,CDG,IST,04/17/2016,18:50,04/17/2016,23:15,M
AF,RNS,LYS,04/07/2016,13:35,04/07/2016,14:50,M
AF,LIL,LYS,03/21/2016,6:45,03/21/2016,7:55,S
AF,MRS,ORY,04/05/2016,8:40,04/05/2016,10:00,S
AF,MRS,ORY,04/12/2016,8:40,04/12/2016,10:00,S
AF,CDG,TRN,03/29/2016,13:15,03/29/2016,14:50,H
AF,MUC,CDG,04/22/2016,20:40,04/22/2016,22:20,R
LO,CDG,WAW,04/18/2016,7:30,04/18/2016,9:40,Q
AF,NTE,LYS,04/19/2016,6:40,04/19/2016,7:50,Y
BA,LYS,LHR,04/11/2016,6:55,04/11/2016,7:35,H
AF,CDG,BCN,04/13/2016,7:40,04/13/2016,9:20,E
AF,CDG,PVG,04/22/2016,23:25,04/23/2016,16:35,N
A5,NTE,LYS,05/18/2016,8:55,05/18/2016,10:00,R
A5,NTE,MRS,04/20/2016,6:30,04/20/2016,7:45,M
AF,ORY,TLS,04/12/2016,19:25,04/12/2016,20:35,T
AF,CDG,LHR,03/29/2016,7:30,03/29/2016,7:50,Y
AF,NTE,MRS,04/20/2016,6:30,04/20/2016,7:45,M
AF,CDG,MSP,04/17/2016,10:35,04/17/2016,12:55,K
AF,CDG,NCE,03/31/2016,7:15,03/31/2016,8:45,M
AF,ORY,NCE,03/29/2016,8:45,03/29/2016,10:10,M
AF,BOD,CDG,06/05/2016,10:45,06/05/2016,12:05,J
KL,CDG,AMS,03/29/2016,12:35,03/29/2016,13:50,Y
KL,CDG,AMS,03/29/2016,12:35,03/29/2016,13:50,Y
AF,CDG,GOT,03/30/2016,13:05,03/30/2016,15:05,B
AF,LIL,LYS,03/30/2016,6:40,03/30/2016,7:55,S
U2,LYS,LGW,04/12/2016,7:10,04/12/2016,7:40,W
TP,ORY,LIS,04/12/2016,16:10,04/12/2016,17:35,E
A5,LIL,BOD,04/04/2016,8:25,04/04/2016,9:45,W
AF,ORY,LRT,04/06/2016,8:40,04/06/2016,10:05,A
AF,CDG,BES,04/01/2016,10:20,04/01/2016,11:35,W
AF,BOD,BRU,05/02/2016,7:05,05/02/2016,9:45,L
AF,MRS,BOD,04/25/2016,6:05,04/25/2016,7:10,H
AF,MRS,BOD,04/12/2016,20:10,04/12/2016,21:15,M
AF,MRS,BOD,04/12/2016,15:10,04/12/2016,16:15,U
EK,LYS,DXB,05/02/2016,21:55,05/03/2016,6:15,T
EK,LYS,DXB,04/24/2016,21:55,04/25/2016,6:15,T
AF,CDG,BOS,07/10/2016,16:35,07/10/2016,18:15,A
AF,TLS,LYS,04/05/2016,7:00,04/05/2016,8:00,Y
AF,TLS,LYS,04/14/2016,7:00,04/14/2016,8:00,A
AF,ORY,NCE,03/31/2016,8:15,03/31/2016,9:40,B
AF,CDG,GOT,03/30/2016,13:05,03/30/2016,15:05,B
AF,CDG,GOT,03/30/2016,13:05,03/30/2016,15:05,B
AF,CDG,STR,05/08/2016,20:35,05/08/2016,22:00,E
AF,ORY,NCE,04/08/2016,6:40,04/08/2016,8:05,A
AF,ORY,BOD,04/01/2016,7:20,04/01/2016,8:25,W
AF,ORY,CFE,04/06/2016,7:20,04/06/2016,8:15,Y
KL,LHR,AMS,04/15/2016,16:05,04/15/2016,18:20,Z
AF,ORY,BOD,04/05/2016,7:20,04/05/2016,8:25,W
AF,ORY,BOD,04/25/2016,7:20,04/25/2016,8:25,W
AF,CDG,BCN,04/06/2016,7:40,04/06/2016,9:20,H
AF,CDG,VCE,04/28/2016,15:40,04/28/2016,17:15,M
AF,CDG,STR,05/08/2016,20:35,05/08/2016,22:00,L
A5,BOD,LYS,04/05/2016,6:55,04/05/2016,8:05,W
A5,NTE,LIL,06/03/2016,15:30,06/03/2016,16:35,U
AF,CDG,IAD,04/10/2016,13:45,04/10/2016,16:15,K
A5,NTE,LIL,06/03/2016,15:30,06/03/2016,16:35,U
AF,LHR,CDG,04/19/2016,17:45,04/19/2016,20:00,T
AF,LYS,BOD,04/07/2016,8:55,04/07/2016,10:00,S
AF,LYS,BOD,04/05/2016,8:55,04/05/2016,10:00,L
AF,LYS,TLS,04/14/2016,18:35,04/14/2016,19:35,S
U2,NCE,ORY,04/05/2016,17:00,04/05/2016,18:30,B
U2,CDG,BFS,04/04/2016,17:05,04/04/2016,17:50,B
TP,LIS,ORY,04/01/2016,18:10,04/01/2016,21:35,A
VY,ORY,OPO,03/31/2016,12:40,03/31/2016,13:45,S
SS,ORY,PTP,04/23/2016,10:45,04/23/2016,13:35,A
AF,PIS,LYS,04/06/2016,7:00,04/06/2016,8:05,L
AF,LIL,SXB,04/11/2016,6:55,04/11/2016,7:50,B
AF,ORY,NCE,04/05/2016,6:40,04/05/2016,8:05,A
AF,ORY,BOD,04/04/2016,7:20,04/04/2016,8:25,W
UA,CDG,EWR,04/03/2016,13:10,04/03/2016,15:45,Q
A5,NTE,LIL,06/03/2016,15:30,06/03/2016,16:35,U
A5,NTE,LIL,06/03/2016,15:30,06/03/2016,16:35,U
A5,NTE,LIL,06/03/2016,15:30,06/03/2016,16:35,U
A5,NTE,LIL,06/03/2016,15:30,06/03/2016,16:35,U
AF,MRS,BOD,04/12/2016,15:10,04/12/2016,16:15,U
AF,CDG,TRN,04/07/2016,8:40,04/07/2016,10:15,U
A5,NTE,LIL,06/03/2016,15:30,06/03/2016,16:35,U
XK,BIA,NCE,03/31/2016,19:25,03/31/2016,20:10,W
KL,LHR,AMS,04/15/2016,9:55,04/15/2016,12:25,Z
AF,CDG,MAD,04/13/2016,15:25,04/13/2016,17:30,T
AF,DCM,ORY,04/04/2016,6:35,04/04/2016,8:15,W
KL,MRS,AMS,04/06/2016,17:45,04/06/2016,19:45,H
AF,ORY,TLS,04/21/2016,8:20,04/21/2016,9:30,Y
AF,ORY,TLS,03/31/2016,8:20,03/31/2016,9:30,Y
A5,LIL,LYS,04/06/2016,6:40,04/06/2016,7:55,Y
AF,BOD,CDG,03/31/2016,6:20,03/31/2016,7:40,W
AF,ORY,TLS,05/10/2016,7:00,05/10/2016,8:10,W
AF,TLN,ORY,04/12/2016,6:40,04/12/2016,8:10,M
AF,MRS,BOD,04/12/2016,15:10,04/12/2016,16:15,U
BA,LHR,MAD,04/01/2016,7:25,04/01/2016,10:55,Y
TP,GVA,LIS,04/20/2016,18:25,04/20/2016,19:55,E
U2,NCE,ORY,04/12/2016,17:00,04/12/2016,18:30,Y
U2,NCE,ORY,04/12/2016,17:00,04/12/2016,18:30,Y
AF,ORY,MRS,04/27/2016,11:10,04/27/2016,12:25,H
MU,SHA,WEH,04/17/2016,18:20,04/17/2016,20:10,Y
CA,WEH,PEK,04/19/2016,9:00,04/19/2016,10:25,Y
BR,TSA,SHA,04/17/2016,14:30,04/17/2016,16:10,Y
KL,AMS,CDG,04/21/2016,20:30,04/21/2016,21:45,K
KL,CDG,AMS,04/10/2016,10:15,04/10/2016,11:35,Y
AF,CDG,ATL,05/10/2016,10:55,05/10/2016,14:20,K
AF,BOD,ORY,04/11/2016,17:15,04/11/2016,18:25,Y
LO,LYS,MUC,04/17/2016,17:05,04/17/2016,18:25,V
A5,LIL,BOD,04/13/2016,8:25,04/13/2016,9:45,D
AF,ORY,TLS,03/31/2016,20:40,03/31/2016,21:50,Q
AF,LYS,LIL,04/05/2016,8:40,04/05/2016,9:55,Y
BA,ORY,LHR,04/19/2016,19:35,04/19/2016,19:50,Q
OK,CDG,PRG,04/11/2016,9:45,04/11/2016,11:30,L
AF,CDG,AMS,05/23/2016,10:15,05/23/2016,11:35,T
AF,CDG,HAM,05/09/2016,12:45,05/09/2016,14:15,E
AF,BOD,ORY,04/13/2016,6:40,04/13/2016,7:50,W
AF,ORY,BOD,04/06/2016,7:20,04/06/2016,8:25,W
AF,ORY,CFE,03/31/2016,7:20,03/31/2016,8:15,Y
AF,ORY,CFE,03/31/2016,7:20,03/31/2016,8:15,Y
AF,ORY,CFE,03/31/2016,7:20,03/31/2016,8:15,Y
U2,BOD,GVA,02/24/2016,21:30,02/24/2016,22:50,Y
OK,CDG,PRG,04/18/2016,20:15,04/18/2016,21:55,N
LX,CDG,GVA,04/06/2016,7:15,04/06/2016,8:25,V
AF,BOD,ORY,04/11/2016,6:40,04/11/2016,7:50,T
AF,BOD,ORY,04/11/2016,6:40,04/11/2016,7:50,Q
SN,LYS,BRU,03/23/2016,11:40,03/23/2016,12:55,Q
AF,NTE,MRS,04/21/2016,19:10,04/21/2016,20:25,B
AF,ORY,BOD,04/12/2016,6:25,04/12/2016,7:30,U
AF,ORY,MPL,04/01/2016,10:35,04/01/2016,11:50,W
AF,ORY,NCE,04/12/2016,8:15,04/12/2016,9:40,M
AF,BOD,ORY,04/06/2016,6:40,04/06/2016,7:50,W
AF,BOD,ORY,04/13/2016,6:40,04/13/2016,7:50,W
LH,CDG,MUC,04/11/2016,8:40,04/11/2016,10:00,V
U2,KRK,CDG,04/14/2016,20:15,04/14/2016,22:30,B
AF,CDG,TRN,04/06/2016,16:45,04/06/2016,18:10,K
AF,MRS,ORY,04/04/2016,6:20,04/04/2016,7:40,B
AF,CDG,BCN,04/14/2016,7:40,04/14/2016,9:20,L
AF,CDG,TRN,04/19/2016,8:40,04/19/2016,10:15,K
AF,CDG,BCN,04/14/2016,7:40,04/14/2016,9:20,L
AF,CDG,BOS,03/14/2016,16:10,03/14/2016,19:10,U
AF,CDG,BOS,03/14/2016,16:10,03/14/2016,19:10,U
AF,CDG,BOS,03/14/2016,16:10,03/14/2016,19:10,U
AF,CDG,BOS,03/14/2016,16:10,03/14/2016,19:10,U
AF,CDG,BOS,03/14/2016,16:10,03/14/2016,19:10,U
AF,CDG,BOS,03/14/2016,16:10,03/14/2016,19:10,U
AF,CDG,BOS,03/20/2016,16:10,03/20/2016,19:10,B
AA,BOS,DCA,03/18/2016,16:00,03/18/2016,17:40,S
AA,CDG,JFK,03/14/2016,9:00,03/14/2016,12:35,R
KL,CDG,AMS,03/25/2016,9:05,03/25/2016,10:25,Y
AF,CDG,MAN,03/14/2016,12:55,03/14/2016,13:20,K
CA,PVG,FRA,03/11/2016,11:35,03/11/2016,17:10,H
SQ,SIN,PEK,03/20/2016,1:10,03/20/2016,7:15,B
LX,ZRH,NCE,04/01/2016,17:05,04/01/2016,18:15,Z
LX,NCE,ZRH,03/27/2016,18:55,03/27/2016,20:10,P
AF,CDG,ATL,04/17/2016,10:55,04/17/2016,14:20,A
DL,SAN,JFK,04/22/2016,6:30,04/22/2016,15:05,T
OS,VIE,TXL,04/18/2016,15:20,04/18/2016,16:40,L
SQ,SIN,PEK,03/20/2016,1:10,03/20/2016,7:15,H
SQ,SIN,PEK,03/20/2016,1:10,03/20/2016,7:15,H
AF,CDG,BOS,03/21/2016,16:10,03/21/2016,19:10,S
AV,BOG,SCL,04/13/2016,7:36,04/13/2016,15:31,T
LH,CDG,FRA,04/03/2016,9:20,04/03/2016,10:35,U
AF,CDG,BOS,03/21/2016,16:10,03/21/2016,19:10,S
AF,CDG,BOS,03/14/2016,16:10,03/14/2016,19:10,U
AF,CDG,BOS,03/14/2016,16:10,03/14/2016,19:10,U
AF,CDG,BOS,03/14/2016,16:10,03/14/2016,19:10,U
AF,CDG,BOS,03/14/2016,16:10,03/14/2016,19:10,U
SQ,SIN,PVG,03/30/2016,17:25,03/30/2016,22:45,Y
SQ,SIN,PVG,03/30/2016,17:25,03/30/2016,22:45,E
AF,CDG,AMS,03/28/2016,18:00,03/28/2016,19:15,Q
AF,CDG,PVG,05/29/2016,23:25,05/30/2016,16:35,R
BA,NCE,LHR,04/11/2016,11:55,04/11/2016,13:10,Y
DL,SIN,NRT,03/27/2016,6:00,03/27/2016,14:05,Z
VA,CHC,BNE,02/18/2016,6:20,02/18/2016,7:10,V
D8,LGW,ARN,02/15/2016,19:55,02/15/2016,23:15,Z
QR,SIN,DOH,04/04/2016,10:40,04/04/2016,13:15,N
AF,TLN,ORY,03/15/2016,9:25,03/15/2016,10:55,E
AF,LIL,BOD,03/09/2016,8:30,03/09/2016,9:45,Y
AF,ORY,MRS,03/07/2016,10:45,03/07/2016,12:00,S
4U,CDG,TXL,03/04/2016,9:20,03/04/2016,10:50,Y
BE,CDG,MAN,03/29/2016,16:40,03/29/2016,17:10,H
BA,LHR,BSL,04/01/2016,19:45,04/01/2016,22:20,N
AF,CDG,YYZ,04/10/2016,13:55,04/10/2016,16:10,I
AF,ORY,NCE,03/09/2016,17:40,03/09/2016,19:00,S
TK,CDG,SAW,03/21/2016,13:15,03/21/2016,17:55,S
AF,CDG,YYZ,04/10/2016,13:55,04/10/2016,16:10,I
DL,CDG,DTW,03/16/2016,13:50,03/16/2016,18:00,H
LH,LYS,MUC,03/08/2016,9:10,03/08/2016,10:30,Q
AF,CDG,LAX,04/25/2016,10:30,04/25/2016,13:00,A
AF,CDG,LAX,04/25/2016,10:30,04/25/2016,13:00,A
A5,LIL,TLS,03/29/2016,6:55,03/29/2016,8:25,W
AF,CDG,NUE,04/11/2016,8:35,04/11/2016,9:55,V
AF,NUE,CDG,04/12/2016,18:30,04/12/2016,20:00,V
AF,CDG,MPL,03/14/2016,8:40,03/14/2016,10:00,A
AF,CDG,BOD,03/14/2016,9:55,03/14/2016,11:10,E
AF,BOD,CDG,03/14/2016,18:35,03/14/2016,19:55,E
AF,ORY,BOD,03/21/2016,11:05,03/21/2016,12:10,N
LH,LYS,MUC,03/14/2016,9:10,03/14/2016,10:30,B
AF,MPL,CDG,04/03/2016,14:50,04/03/2016,16:20,R
AF,ORY,MRS,04/15/2016,8:30,04/15/2016,9:45,H
TO,PRG,ORY,03/16/2016,20:45,03/16/2016,22:35,B
AF,MPL,CDG,03/20/2016,12:40,03/20/2016,14:10,V
BE,CDG,MAN,04/11/2016,13:05,04/11/2016,13:30,U
BE,CDG,MAN,04/11/2016,13:05,04/11/2016,13:30,U
AF,NCE,ORY,03/29/2016,6:30,03/29/2016,7:55,B
LH,GVA,FRA,03/21/2016,9:00,03/21/2016,10:20,B
TK,IST,GVA,03/26/2016,8:15,03/26/2016,10:30,E
AF,BOD,CDG,03/30/2016,6:20,03/30/2016,7:40,W
AF,BOD,CDG,04/04/2016,6:20,04/04/2016,7:40,K
LX,GVA,ARN,04/05/2016,6:55,04/05/2016,9:35,K
AF,CDG,BHX,04/05/2016,15:25,04/05/2016,15:55,K
AF,NCE,ORY,03/29/2016,6:30,03/29/2016,7:55,B
UU,RUN,MRU,04/18/2016,7:10,04/18/2016,7:55,V
AF,CDG,HEL,05/17/2016,15:25,05/17/2016,19:15,T
AF,CDG,GLA,04/14/2016,7:30,04/14/2016,8:15,L
TK,CDG,SAW,04/05/2016,12:15,04/05/2016,16:45,V
AF,CDG,NUE,04/11/2016,8:35,04/11/2016,9:55,V
AF,NUE,CDG,04/12/2016,18:30,04/12/2016,20:00,V
AF,CDG,NUE,04/11/2016,8:35,04/11/2016,9:55,V
AF,NUE,CDG,04/12/2016,18:30,04/12/2016,20:00,V
AF,BOD,CDG,03/29/2016,10:45,03/29/2016,12:05,W
AF,ORY,TLS,03/24/2016,7:20,03/24/2016,8:30,T
AF,TLS,ORY,03/24/2016,15:35,03/24/2016,16:55,E
AF,DUS,CDG,03/25/2016,9:25,03/25/2016,10:50,B
SQ,CDG,SIN,06/15/2016,12:00,06/16/2016,6:50,D
AF,MPL,CDG,04/05/2016,14:50,04/05/2016,16:20,T
AF,MPL,CDG,04/05/2016,14:50,04/05/2016,16:20,T
LH,LYS,MUC,03/29/2016,12:50,03/29/2016,14:10,H
AF,CDG,MUC,04/18/2016,10:15,04/18/2016,11:45,L
AF,CDG,ZRH,04/12/2016,16:10,04/12/2016,17:25,T
AF,CDG,ZRH,04/12/2016,16:10,04/12/2016,17:25,Y
AF,ORY,TLS,03/29/2016,8:05,03/29/2016,9:15,W
AF,TLS,CDG,04/04/2016,7:10,04/04/2016,8:40,Q
AF,RBA,CDG,04/15/2016,14:00,04/15/2016,17:50,L
TB,ORY,RBA,04/11/2016,10:50,04/11/2016,12:35,Q
AF,ORY,NCE,04/01/2016,13:55,04/01/2016,15:20,E
AF,RNS,LYS,04/06/2016,13:35,04/06/2016,14:50,L
A5,LYS,NCE,03/29/2016,8:30,03/29/2016,9:25,W
AA,LYS,LHR,03/08/2016,11:20,03/08/2016,12:10,K
AF,CDG,LYS,03/11/2016,8:55,03/11/2016,10:00,H
BA,LYS,LHR,03/08/2016,11:20,03/08/2016,12:10,K
BA,LYS,LHR,03/08/2016,11:20,03/08/2016,12:10,K
AF,TRN,CDG,03/23/2016,15:45,03/23/2016,17:20,E
AF,CDG,TRN,03/22/2016,8:40,03/22/2016,10:15,N
LH,XER,FRA,03/20/2016,6:15,03/20/2016,9:00,Z
LH,FRA,XER,03/25/2016,11:00,03/25/2016,13:30,Z
AF,BOD,MRS,03/16/2016,7:50,03/16/2016,8:55,M
AF,CDG,BOS,03/14/2016,16:10,03/14/2016,19:10,U
AF,CDG,BOS,03/14/2016,16:10,03/14/2016,19:10,U
DL,CDG,BOS,03/22/2016,16:10,03/22/2016,19:10,W
AF,CDG,LYS,03/11/2016,8:55,03/11/2016,10:00,H
AA,LYS,LHR,03/08/2016,11:20,03/08/2016,12:10,K
BA,LYS,LHR,03/08/2016,11:20,03/08/2016,12:10,K
AF,CDG,BOS,03/14/2016,16:10,03/14/2016,19:10,U
AF,LHR,CDG,03/09/2016,6:40,03/09/2016,9:00,J
T7,LYS,STR,03/15/2016,18:00,03/15/2016,19:20,Y
AF,CDG,BOS,03/20/2016,16:10,03/20/2016,19:10,B
AF,CDG,BOS,03/22/2016,16:10,03/22/2016,19:10,U
AF,FDF,ORY,04/28/2016,21:15,04/29/2016,11:15,A
EK,CDG,DXB,04/14/2016,21:50,04/15/2016,6:30,B
WY,MCT,DXB,04/18/2016,14:30,04/18/2016,15:35,L
SQ,SIN,PEK,03/20/2016,1:10,03/20/2016,7:15,B
TG,ZRH,BKK,04/02/2016,13:30,04/03/2016,5:30,H
TG,ZRH,BKK,04/02/2016,13:30,04/03/2016,5:30,H
CI,WEH,TPE,04/26/2016,10:55,04/26/2016,13:25,Y
MU,SHA,WEH,04/24/2016,18:20,04/24/2016,20:10,B
CA,CAN,HGH,04/19/2016,17:05,04/19/2016,19:20,Y
AE,RMQ,HKG,04/16/2016,12:15,04/16/2016,13:45,K
KL,BSL,AMS,04/11/2016,14:25,04/11/2016,16:00,L
